genre,tempo_bpm,spectral_centroid,spectral_rolloff,chroma_mean
blues,68.0,1530.26,3550.71,0.3408
blues,161.5,1552.83,3042.41,0.3635
blues,63.02,1070.15,2184.88,0.4049
blues,69.84,1832.01,3481.47,0.3025
blues,71.78,1459.47,2795.91,0.2914
blues,92.29,1451.86,2955.32,0.3074
blues,80.75,1817.23,3943.83,0.274
blues,161.5,1410.02,2765.97,0.304
blues,161.5,1352.74,2880.91,0.3659
blues,107.67,1324.53,2711.48,0.2649
blues,152.0,1171.97,2344.99,0.3289
blues,103.36,1420.44,2930.24,0.2697
blues,198.77,1455.07,3010.01,0.3082
blues,83.35,1537.49,3495.33,0.2701
blues,123.05,1195.5,2235.61,0.2574
blues,136.0,1390.38,3006.15,0.3027
blues,99.38,1046.78,1831.22,0.3213
blues,95.7,1155.87,2169.63,0.3066
blues,184.57,1210.14,2521.98,0.2808
blues,103.36,1120.17,2324.21,0.2631
blues,92.29,1109.32,2243.32,0.2909
blues,83.35,1198.86,2478.83,0.2786
blues,92.29,1392.03,2811.74,0.2887
blues,152.0,1379.02,3015.61,0.2634
blues,152.0,1330.61,2898.63,0.2537
blues,143.55,1309.77,2765.23,0.2762
blues,152.0,1430.6,3246.17,0.2608
blues,184.57,1537.08,3602.41,0.2622
blues,129.2,1507.16,3405.55,0.2883
blues,152.0,1247.58,2621.5,0.2333
blues,123.05,1188.47,2339.83,0.2487
blues,86.13,1514.16,3451.8,0.2658
blues,117.45,1151.31,2312.18,0.2553
blues,172.27,2272.47,5108.16,0.398
blues,129.2,2390.42,5403.59,0.387
blues,89.1,2301.58,5187.51,0.3777
blues,129.2,2155.85,5011.53,0.3989
blues,123.05,1913.01,4777.71,0.388
blues,152.0,2013.01,4848.79,0.3364
blues,123.05,2148.13,4672.11,0.3795
blues,161.5,2340.73,4972.72,0.3747
blues,117.45,2224.01,4700.26,0.4664
blues,123.05,2333.55,4942.78,0.4142
blues,123.05,2310.35,4829.09,0.4432
country,129.2,2938.13,6279.55,0.4141
country,161.5,2174.16,4348.07,0.377
country,112.35,2807.91,6023.04,0.4216
country,103.36,2898.79,6400.05,0.4214
country,66.26,2505.85,5480.08,0.3553
country,95.7,3191.26,6926.77,0.4296
country,112.35,2839.26,6047.92,0.3009
country,89.1,1667.52,3439.73,0.2965
country,129.2,2811.87,6061.51,0.3681
country,136.0,2952.99,6570.36,0.3651
country,86.13,2068.87,4098.68,0.3699
country,83.35,1138.97,2118.2,0.3157
country,107.67,1044.72,1947.63,0.2892
country,184.57,1719.47,3449.97,0.3217
country,83.35,1495.56,3053.29,0.3054
country,129.2,1738.88,3424.77,0.2705
country,73.83,1565.16,3188.7,0.3473
country,107.67,1270.3,2498.19,0.3299
country,89.1,1474.27,2925.97,0.3183
country,89.1,1214.2,2274.31,0.31
country,92.29,2456.72,4914.87,0.3169
country,136.0,2614.34,5435.63,0.3592
country,99.38,2321.89,4580.65,0.3759
country,112.35,1827.8,3647.52,0.3447
country,99.38,2068.66,4232.99,0.3739
country,143.55,2449.75,5042.96,0.3735
country,129.2,2634.22,5808.13,0.4002
country,136.0,2530.5,5070.29,0.4031
country,78.3,2777.49,5622.54,0.3455
country,78.3,2109.42,3843.89,0.3742
country,112.35,1599.91,3006.73,0.3239
country,117.45,1780.21,3875.04,0.3511
country,64.6,1553.03,3167.32,0.2747
country,71.78,1115.68,2347.69,0.3289
country,89.1,2271.85,4957.87,0.3734
country,76.0,1654.41,3907.96,0.3127
country,129.2,1881.22,4111.44,0.3571
country,80.75,1468.46,3212.66,0.3191
country,68.0,1741.89,3791.31,0.3151
country,112.35,1796.71,4165.02,0.3482
country,136.0,1535.41,3510.48,0.2844
country,60.09,1397.86,3101.26,0.3146
country,172.27,2166.61,4793.95,0.3903
country,83.35,1614.59,3657.92,0.3339
country,66.26,1511.68,3237.65,0.2635
country,123.05,894.54,1639.83,0.2828
country,64.6,858.11,1446.11,0.3213
country,172.27,1131.08,2216.99,0.3493
country,112.35,1327.71,2755.83,0.3521
